indicator_sex_female,indicator_Ethnic_nonwhite,indicator_education_noqualification,indicator_age_elder,indicator_age_children,indicator_NS-SeC_unemployed,indicator_NS-SeC_students,LAT,LONG
0.509,0.907,0.274,0.066,0.318,0.229,0.09,53.8,-1.724
0.513,0.046,0.138,0.355,0.137,0.041,0.028,52.442,-2.157
0.483,0.821,0.166,0.081,0.254,0.14,0.107,51.547,0.058
0.526,0.073,0.063,0.121,0.125,0.03,0.077,53.939,-1.096
0.516,0.052,0.122,0.182,0.152,0.038,0.034,51.356,-1.972
0.478,0.073,0.258,0.119,0.194,0.123,0.059,53.753,-0.311
0.543,0.015,0.26,0.295,0.156,0.13,0.042,54.688,-1.542
0.544,0.055,0.198,0.174,0.247,0.118,0.046,50.859,0.473
0.507,0.014,0.208,0.22,0.178,0.087,0.032,53.641,-0.249
0.498,0.36,0.142,0.186,0.191,0.057,0.05,51.368,-0.132
0.535,0.018,0.262,0.353,0.13,0.11,0.033,53.521,-0.101
0.508,0.181,0.16,0.169,0.169,0.085,0.038,53.597,-2.45
0.536,0.023,0.178,0.344,0.137,0.077,0.031,51.05,-2.728
0.503,0.025,0.101,0.228,0.189,0.04,0.044,51.26,-2.782
0.517,0.218,0.163,0.183,0.213,0.067,0.034,53.825,-1.747
0.509,0.136,0.081,0.062,0.317,0.028,0.034,51.253,-1.629
0.517,0.677,0.11,0.052,0.264,0.076,0.084,51.605,-0.243
0.495,0.34,0.074,0.053,0.095,0.048,0.601,52.946,-1.176
0.518,0.086,0.223,0.164,0.216,0.119,0.05,53.535,-2.436
0.499,0.198,0.148,0.175,0.209,0.07,0.038,51.778,-0.456
0.515,0.226,0.244,0.093,0.251,0.094,0.077,52.622,-1.173
0.523,0.694,0.131,0.049,0.192,0.126,0.099,51.515,-0.057
0.525,0.146,0.153,0.231,0.171,0.054,0.039,52.406,-1.845
0.511,0.013,0.125,0.177,0.204,0.053,0.047,54.596,-1.272
0.523,0.406,0.053,0.095,0.139,0.055,0.095,51.547,-0.177
0.522,0.017,0.126,0.315,0.128,0.045,0.026,53.125,-1.538
0.499,0.117,0.145,0.178,0.164,0.049,0.036,51.884,-0.512
0.522,0.1,0.074,0.092,0.233,0.025,0.023,51.301,-1.077
0.505,0.615,0.155,0.125,0.229,0.095,0.071,51.587,0.091
0.509,0.03,0.135,0.249,0.174,0.045,0.052,53.315,-0.393
