indicator_sex_female,indicator_Ethnic_nonwhite,indicator_education_noqualification,indicator_age_elder,indicator_age_children,indicator_NS-SeC_unemployed,indicator_NS-SeC_students,LAT,LONG
0.517,0.036,0.154,0.247,0.149,0.057,0.038,53.343,-1.424
0.501,0.029,0.172,0.31,0.153,0.061,0.033,51.764,-3.766
0.529,0.78,0.197,0.19,0.22,0.101,0.076,52.625,-1.083
0.498,0.347,0.084,0.12,0.077,0.075,0.167,51.518,-0.142
0.508,0.409,0.204,0.119,0.161,0.112,0.071,51.601,-0.101
0.531,0.036,0.302,0.38,0.109,0.135,0.023,53.34,-1.355
0.46,0.261,0.167,0.092,0.192,0.079,0.038,53.386,-2.605
0.508,0.006,0.186,0.355,0.118,0.087,0.033,53.87,-0.144
0.509,0.051,0.21,0.198,0.185,0.089,0.038,53.533,-2.64
0.508,0.088,0.094,0.199,0.209,0.031,0.049,51.215,-0.221
0.459,0.258,0.139,0.085,0.087,0.101,0.176,53.39,-2.944
0.508,0.774,0.186,0.109,0.268,0.107,0.079,51.526,-0.419
0.538,0.394,0.068,0.14,0.118,0.075,0.137,51.496,-0.211
0.508,0.036,0.135,0.172,0.195,0.058,0.036,53.557,-0.13
0.489,0.099,0.183,0.161,0.159,0.074,0.078,52.647,1.312
0.513,0.276,0.216,0.122,0.208,0.142,0.059,53.597,-2.283
0.53,0.014,0.221,0.342,0.152,0.067,0.028,53.362,0.017
0.519,0.142,0.141,0.111,0.221,0.068,0.048,52.028,1.209
0.518,0.033,0.149,0.21,0.176,0.053,0.034,53.585,-1.527
0.517,0.018,0.13,0.304,0.144,0.041,0.047,53.057,-2.108
0.517,0.125,0.122,0.229,0.126,0.059,0.06,50.783,-1.075
0.516,0.017,0.209,0.249,0.177,0.079,0.034,53.219,-1.149
0.512,0.504,0.182,0.091,0.246,0.096,0.082,51.68,-0.405
0.489,0.35,0.069,0.158,0.229,0.039,0.046,51.563,-0.458
0.536,0.053,0.25,0.159,0.232,0.144,0.037,53.467,-2.918
0.514,0.057,0.103,0.186,0.205,0.036,0.045,50.392,-4.156
0.53,0.167,0.098,0.171,0.188,0.043,0.037,51.411,-0.842
0.532,0.046,0.137,0.239,0.194,0.058,0.058,51.689,-4.099
0.49,0.96,0.257,0.07,0.284,0.23,0.109,52.459,-1.865
0.506,0.399,0.086,0.203,0.178,0.04,0.075,51.618,0.032
0.502,0.23,0.105,0.153,0.185,0.046,0.055,51.456,-0.349
0.526,0.039,0.098,0.224,0.18,0.029,0.022,51.112,0.033
0.496,0.164,0.064,0.069,0.094,0.029,0.39,50.84,-0.116
0.502,0.012,0.163,0.174,0.191,0.052,0.037,50.364,-4.897
0.5,0.149,0.189,0.177,0.174,0.089,0.036,52.9,-1.432
0.468,0.322,0.188,0.116,0.159,0.137,0.047,52.918,-1.47
0.518,0.603,0.084,0.182,0.194,0.051,0.07,51.584,-0.378
0.5,0.958,0.29,0.132,0.246,0.183,0.078,52.631,-1.108
0.478,0.316,0.055,0.069,0.125,0.039,0.057,51.507,-0.063
0.515,0.027,0.091,0.252,0.185,0.025,0.045,51.333,-2.723
0.504,0.26,0.048,0.064,0.248,0.037,0.049,52.75,-1.198
0.538,0.094,0.149,0.158,0.191,0.075,0.053,50.806,0.29
0.515,0.038,0.219,0.192,0.195,0.093,0.042,50.87,-0.974
0.528,0.174,0.24,0.167,0.209,0.1,0.051,52.48,-2.041
0.537,0.043,0.131,0.221,0.136,0.04,0.044,51.149,-2.733
0.497,0.102,0.134,0.212,0.16,0.045,0.026,51.876,-0.169
0.513,0.287,0.175,0.158,0.215,0.082,0.055,51.483,0.146
0.508,0.05,0.127,0.24,0.169,0.042,0.035,50.867,-1.256
0.507,0.02,0.115,0.194,0.204,0.04,0.04,50.467,-4.746
