script,op,lineno,raw_target,resolved_type,resolved_path,exists,hint
scripts/fig_3_A_right.py,write,128,"OUT_PDF, bbox_inches=""tight"", pad_inches=0",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_3_A_right.py,write,129,"OUT_SVG, bbox_inches=""tight"", pad_inches=0",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_3_B_left.py,read,56,SHP_PATH,unknown,SHP_PATH,,\bgpd\.read_file\(\s*([^\)]+?)\s*\)
scripts/fig_3_B_left.py,read,57,BOUNDARY_PATH,unknown,BOUNDARY_PATH,,\bgpd\.read_file\(\s*([^\)]+?)\s*\)
scripts/fig_3_B_left.py,read,65,COL_TXT_PATH,unknown,COL_TXT_PATH,,"\bopen\(\s*([^,]+?)\s*,"
scripts/fig_3_B_left.py,write,337,"OUT_PDF, bbox_inches=""tight"", pad_inches=0",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_3_B_left.py,write,338,"OUT_SVG, bbox_inches=""tight"", pad_inches=0",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_3_B_left.py,write,339,"OUT_TIF, dpi=600, format=""tiff""",unknown,OUT_TIF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_3_B_right.py,read,30,SHP_PATH,unknown,SHP_PATH,,\bgpd\.read_file\(\s*([^\)]+?)\s*\)
scripts/fig_3_B_right.py,read,31,BOUNDARY_PATH,unknown,BOUNDARY_PATH,,\bgpd\.read_file\(\s*([^\)]+?)\s*\)
scripts/fig_3_B_right.py,read,36,COL_TXT_PATH,unknown,COL_TXT_PATH,,"\bopen\(\s*([^,]+?)\s*,"
scripts/fig_3_B_right.py,write,128,"OUT_PDF, bbox_inches=""tight"", pad_inches=0",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_3_B_right.py,write,129,"OUT_SVG, bbox_inches=""tight"", pad_inches=0",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_4_A.py,read,24,CSV_PATH,unknown,CSV_PATH,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/fig_4_A.py,write,104,"OUT_PDF, bbox_inches=""tight"", pad_inches=0",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_4_A.py,write,105,"OUT_SVG, bbox_inches=""tight"", pad_inches=0",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_4_B.py,read,24,CSV_PATH,unknown,CSV_PATH,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/fig_4_B.py,write,104,"OUT_PDF, bbox_inches=""tight"", pad_inches=0",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_4_B.py,write,105,"OUT_SVG, bbox_inches=""tight"", pad_inches=0",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_5_A_left.py,read,69,SHAP_PATH,unknown,SHAP_PATH,,\bnp\.load\(\s*([^\)]+?)\s*\)
scripts/fig_5_A_left.py,read,70,X_PATH,unknown,X_PATH,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/fig_5_A_left.py,write,233,"OUT_PDF, bbox_inches=""tight"", pad_inches=0, transparent=False",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_5_A_left.py,write,234,"OUT_SVG, bbox_inches=""tight"", pad_inches=0, transparent=False",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_5_A_right.py,read,61,SHAP_PATH,unknown,SHAP_PATH,,\bnp\.load\(\s*([^\)]+?)\s*\)
scripts/fig_5_A_right.py,write,169,"OUT_PDF, bbox_inches=""tight"", pad_inches=0",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_5_A_right.py,write,170,"OUT_SVG, bbox_inches=""tight"", pad_inches=0",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_5_B_left.py,read,67,SHAP_PATH,unknown,SHAP_PATH,,\bnp\.load\(\s*([^\)]+?)\s*\)
scripts/fig_5_B_left.py,read,68,X_PATH,unknown,X_PATH,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/fig_5_B_left.py,write,222,"OUT_PDF, bbox_inches=""tight"", pad_inches=0, transparent=False",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_5_B_left.py,write,223,"OUT_SVG, bbox_inches=""tight"", pad_inches=0, transparent=False",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_5_B_right.py,read,61,SHAP_PATH,unknown,SHAP_PATH,,\bnp\.load\(\s*([^\)]+?)\s*\)
scripts/fig_5_B_right.py,write,169,"OUT_PDF, bbox_inches=""tight"", pad_inches=0",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_5_B_right.py,write,170,"OUT_SVG, bbox_inches=""tight"", pad_inches=0",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_6_A.py,read,79,X_VAL_PATH,unknown,X_VAL_PATH,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/fig_6_A.py,read,80,SHAP_VALUE_PATH,unknown,SHAP_VALUE_PATH,,\bnp\.load\(\s*([^\)]+?)\s*\)
scripts/fig_6_A.py,read,278,"LOWESS_DIR / f""lowess_{feature}_ci.npz""",fstring,"LOWESS_DIR / f""lowess_{feature}_ci.npz""",,\bnp\.load\(\s*([^\)]+?)\s*\)
scripts/fig_6_A.py,write,382,"OUT_PDF, bbox_inches=""tight"", pad_inches=0.1",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_6_A.py,write,383,"OUT_SVG, bbox_inches=""tight"", pad_inches=0.1",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_6_B.py,read,78,X_VAL_PATH,unknown,X_VAL_PATH,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/fig_6_B.py,read,79,SHAP_VALUE_PATH,unknown,SHAP_VALUE_PATH,,\bnp\.load\(\s*([^\)]+?)\s*\)
scripts/fig_6_B.py,read,263,X_VAL_PATH,unknown,X_VAL_PATH,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/fig_6_B.py,read,264,SHAP_VALUE_PATH,unknown,SHAP_VALUE_PATH,,\bnp\.load\(\s*([^\)]+?)\s*\)
scripts/fig_6_B.py,read,273,"LOWESS_DIR / f""lowess_{feature}_ci.npz""",fstring,"LOWESS_DIR / f""lowess_{feature}_ci.npz""",,\bnp\.load\(\s*([^\)]+?)\s*\)
scripts/fig_6_B.py,write,373,"OUT_PDF, bbox_inches=""tight"", pad_inches=0.1",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_6_B.py,write,374,"OUT_SVG, bbox_inches=""tight"", pad_inches=0.1",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_7_A_left.py,read,73,"FILE_SIGNED, index_col=0",unknown,FILE_SIGNED,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/fig_7_A_left.py,write,167,"OUT_PDF, bbox_inches=""tight"", pad_inches=0",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_7_A_left.py,write,168,"OUT_SVG, bbox_inches=""tight"", pad_inches=0",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_7_A_right.py,read,86,FILE_INTER_RAW,unknown,FILE_INTER_RAW,,\bnp\.load\(\s*([^\)]+?)\s*\)
scripts/fig_7_A_right.py,read,88,"FILE_SIGNED, index_col=0",unknown,FILE_SIGNED,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/fig_7_A_right.py,write,165,"OUT_PDF, bbox_inches=""tight"", pad_inches=0",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_7_A_right.py,write,166,"OUT_SVG, bbox_inches=""tight"", pad_inches=0",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_7_B_left.py,read,77,"FILE_SIGNED, index_col=0",unknown,FILE_SIGNED,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/fig_7_B_left.py,write,158,"OUT_PDF, bbox_inches=""tight"", pad_inches=0",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_7_B_left.py,write,159,"OUT_SVG, bbox_inches=""tight"", pad_inches=0",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_7_B_right.py,read,86,FILE_INTER_RAW,unknown,FILE_INTER_RAW,,\bnp\.load\(\s*([^\)]+?)\s*\)
scripts/fig_7_B_right.py,read,88,"FILE_SIGNED, index_col=0",unknown,FILE_SIGNED,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/fig_7_B_right.py,write,159,"OUT_PDF, bbox_inches=""tight"", pad_inches=0",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_7_B_right.py,write,160,"OUT_SVG, bbox_inches=""tight"", pad_inches=0",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_8_A.py,read,97,BOUNDARY_PATH,unknown,BOUNDARY_PATH,,\bgpd\.read_file\(\s*([^\)]+?)\s*\)
scripts/fig_8_A.py,read,154,p,unknown,p,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/fig_8_A.py,write,222,"out_pdf, bbox_inches=""tight"", pad_inches=0",unknown,out_pdf,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_8_A.py,write,223,"out_svg, bbox_inches=""tight"", pad_inches=0",unknown,out_svg,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_8_B.py,read,97,BOUNDARY_PATH,unknown,BOUNDARY_PATH,,\bgpd\.read_file\(\s*([^\)]+?)\s*\)
scripts/fig_8_B.py,read,154,p,unknown,p,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
